listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
861741,"NEW OWNERSHIP 2016, new beds, boat slip, golf tennis privileges, limo golf cart",33.3774919,-79.156327,"Debordieu Colony, Georgetown, SC, USA",4,,269,250,,,,11.0%,2,14,4,3,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,2901,14,,Georgetown
778364,"Perfect View Of Winyah Bay, Sleeps 8, 2 Full Baths",33.29989559,-79.2956525,"Georgetown, SC, USA",14,,138,115,135,,100,7.0%,2,8,3,2,townhome,Yes,2016,Within an hour,90%,"June 5, 2017",townhome,,1650,8,building,Georgetown
686607,"Historic Georgetown ""The Lawft""  Convenient to Restaurants, Shopping!",33.366547,-79.281811,"Georgetown, SC, USA",15,4.9,160,160,,,,11.0%,2,4,2,1,apartment,Yes,2015,Within 12 hours,100%,"May 31, 2017",apartment,2,,4,building,Georgetown
766769,"Historic Home In Downtown Georgetown, Close To Charleston And Pawleys Island",33.363764,-79.278829,"Georgetown, SC, USA",9,4.9,217,225,,,,11.0%,2,8,4,3,house,Yes,2015,Within a day,100%,"June 3, 2017",house,,,8,,Georgetown
25353,Secluded House with Dock on Marsh,33.41114426,-79.13755035,"Pawleys Island, SC, USA",24,4.9,171,,,,,11.0%,7,6,4,2,house,Yes,2003,Within 12 hours,100%,"June 7, 2017",house,,2000,,,Georgetown
655612,"Family Fun Gated Community Boaters, Beach Lovers and Fishermen Welcome",33.30372425,-79.29371756,"Georgetown, SC, USA",10,,163,150,,,110,,2,8,3,2,townhome,Yes,2014,Within a day,90%,"June 3, 2017",townhome,,1650,,,Georgetown
959310,Beautiful Black River Retreat,33.4946018,-79.2828793,"Georgetown, SC, USA",5,,144,160,,,125,11.0%,2,6,3,2,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,1800,,,Georgetown
498260,"""Simple Pleasures"" DeBordieu w/golf cart Pet Friendly BIKES Great Quiet Views",33.37404192,-79.15799762,"Debordieu Colony, Georgetown, SC, USA",38,4.8,297,,,,,,1,8,4,3,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,8,,Georgetown
621002,"DeBordieu Rental w/bikes, beach chairs & grill SUMMER DATES Close to Beach",33.378033,-79.149662,"Debordieu Colony, Georgetown, SC, USA",21,,300,,,,,,1,12,4,3,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,12,,Georgetown
476070,"Family Fun In DeBordieu, Golf Cart Included!",33.3779721,-79.158912,"Debordieu Colony, Georgetown, SC, USA",12,,375,425,,,,10.0%,3,10,4,4,villa,Yes,2013,Within a few hours,100%,"May 24, 2017",villa,,3500,10,,Georgetown
835355,Single Style Charleston Home,33.36398209,-79.27730093,"Georgetown, SC, USA",5,,250,250,,,100,,2,10,Studio,1,house,Yes,2016,Within 2 days,100%,"June 6, 2017",house,,2600,10,,Georgetown
966650,Four Suns Oceanfront home South End of Pawleys with private creek dock,33.401757,-79.137469,"Pawleys Island, SC, USA",0,,443,,,,,,1,18,6,5,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,18,,Georgetown
180911,"Beautiful 2 Bedroom Condo at Belle Isle Resort, Georgetown",33.37683,-79.2945,"Georgetown, SC, USA",6,4.8,138,120,,,100,7.0%,2,6,2,1,condo,Yes,2006,Within a day,100%,"June 7, 2017",condo,,,6,,Georgetown
385087,Debordieu  Beach Front - Dune Level Traditional Beach Home,33.36043549,-79.15174866,"Debordieu Colony, Georgetown, SC, USA",18,,653,790,,,,11.0%,3,16,6,6,house,Yes,2011,Within 12 hours,100%,"May 31, 2017",house,,3900,16,,Georgetown
789711,Incredible OCEANFRONT house DeBordieu Steele House Great Summer weeks,33.3699966,-79.1520863,"Debordieu Colony, Georgetown, SC, USA",12,,881,,,,,,1,14,4,4,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,14,,Georgetown
412167,"Beautiful 3 Bedroom Condo at Belle Isle Resort, Georgetown, Sc",33.30223846,-79.29472351,"Georgetown, SC, USA",1,,161,140,,,125,7.0%,2,7,3,2,condo,Yes,2006,Within a day,90%,"June 5, 2017",condo,,,7,,Georgetown
957899,Southern Charm at its best in the heart of the city!,33.364362,-79.274486,"Georgetown, SC, USA",2,,250,250,,,125,,2,6,3,2,house,No,2016,Within 2 days,90%,"May 28, 2017",house,,,,,Georgetown
633403,"LUXURY House in DeBordieu with golf cart, QUIET LOCATION, POOLS & MORE!",33.379877,-79.152683,"Debordieu Colony, Georgetown, SC, USA",12,4.4,375,,,,,,1,16,5,5,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,16,,Georgetown
729461,"Historic Cottage in the Heart of Georgetown, SC: A Short Walk to the Water!",33.365452,-79.278852,"Georgetown, SC, USA",15,4.9,180,180,,,,,2,2,1,1,cottage,Yes,2015,Within a few hours,100%,"June 4, 2017",cottage,,600,,,Georgetown
418418,DeBordieu's Premier Oceanfront Villa,33.37461206,-79.14918504,"Debordieu Colony, Georgetown, SC, USA",3,,519,500,,,,,3,8,4,3,villa,Yes,2012,Within a few days,90%,"June 4, 2017",villa,,,8,,Georgetown
464958,"Spacious Oceanfront Villa with Elevator, wifi, library, board games, sunroom, and wine refrigerator",33.3700464,-79.1521615,"Debordieu Colony, Georgetown, SC, USA",1,,325,,,,,,2,10,4,4,villa,Yes,2013,Within a day,,"June 7, 2017",villa,,,,,Georgetown
259785,OceanView home private DeBordieu Colony with golf cart and elevator,33.36716461,-79.15237427,"Debordieu Colony, Georgetown, SC, USA",21,4.8,395,,,,,,1,10,5,3,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,10,,Georgetown
498258,"Family beach house Debordieu Lots of Amenities, Pet friendly, Near Ocean",33.37209415,-79.15174713,"Debordieu Colony, Georgetown, SC, USA",17,4.8,324,,,,,,1,14,6,6,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,14,,Georgetown
935987,Sunset Lodge South End of Pawleys Island Creek Dock Great Views from Porches,33.401489,-79.137625,"Pawleys Island, SC, USA",7,4.9,392,,,,,,1,12,4,2,house,No,2009,Within an hour,,"June 6, 2017",house,,,12,,Georgetown
771450,Lodge inspired Spacious home in DeBordieu Spring & Summer weeks available,33.368688,-79.152313,"Debordieu Colony, Georgetown, SC, USA",9,4.6,582,,,,,,1,18,7,7,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,18,,Georgetown
771485,Seaside Haven is a newly renovated ocean front villa steps away from the beach!,33.37352207,-79.14941885,"Debordieu Colony, Georgetown, SC, USA",3,,589,,,,150,11.0%,3,8,4,4,villa,Yes,2015,Within a day,90%,"June 4, 2017",villa,,,8,,Georgetown
789712,Sandcastle Oceanfront PET friendly Rental South End Pawleys Amazing Views,33.401619,-79.137558,"Pawleys Island, SC, USA",15,4.9,500,,,,,,1,18,6,3,house,Yes,2009,Within an hour,,"June 6, 2017",house,,,18,,Georgetown
871367,Majestic Beach House with Private Pool and Fishing Dock Close to Beach,33.35992,-79.15416,"Debordieu Colony, Georgetown, SC, USA",6,,776,,,,,,2,17,7,6,house,Yes,2013,Within a day,,"June 6, 2017",house,,,,,Georgetown
464944,"Oceanfront Villa just Beyond the Dunes, Close to Pool and Beach Club",33.3758711,-79.1515361,"Debordieu Colony, Georgetown, SC, USA",1,,275,,,,,,2,6,3,2,villa,Yes,2013,Within a day,,"June 6, 2017",villa,,,,,Georgetown
870568,"Newly renovated cottage home, walking distance of Historic Downtown Georgetown!",33.365833,-79.276435,"Georgetown, SC, USA",2,,168,159,189,,,7.0%,2,6,3,2,house,Yes,2016,Within a few hours,90%,"May 25, 2017",house,,,6,,Georgetown
988224,McElveen-Hunter Outstanding North Beach Villa DeBordieu Close to Beach/Pool,33.377342,-79.149922,"Debordieu Colony, Georgetown, SC, USA",1,,424,,,,,,1,10,4,4,house,No,2009,Within an hour,,"June 6, 2017",house,,,,,Georgetown
464906,Charming Home on the Beach with a Screened in Porch Perfect for Relaxation,33.3615009,-79.151752,"Debordieu Colony, Georgetown, SC, USA",1,,421,,,,,,2,9,4,4,house,Yes,2013,Within a day,,"June 6, 2017",house,,,,,Georgetown
464932,"Relaxed Ocean View Villa with Wet Bar, Open Porches, and Pool and Beach Access",33.3753441,-79.15159,"Debordieu Colony, Georgetown, SC, USA",0,,234,,,,,,7,10,4,4,villa,Yes,2013,Within a day,,"June 6, 2017",villa,,,,,Georgetown
714531,Lovely Home DeBordieu Off Ocean ONLY SUMMER WEEKS golf cart included!!!!,33.371735,-79.193321,"Debordieu Colony, Georgetown, SC, USA",2,,201,,,,,,1,6,3,3,house,No,2009,Within an hour,,"June 6, 2017",house,,,6,,Georgetown
