listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
3673799ha,"Corporate Home, Near 4 Intel Locations, The Hillsboro Stadium & Airport",45.495744,-122.932708,"Witch Hazel, Hillsboro, OR, USA",31,4.8,136,150,,,,1.0%,4,6,4,2,townhome,Yes,2014,Within 12 hours,100%,"June 6, 2017",townhome,,2000,6,,Hillsboro
872456,"Wonderful Home Near Nike, Intel And Shopping",45.496563,-122.874188,"Aloha, OR, USA",7,4.7,142,139,149,,,,2,8,3,3,townhome,Yes,2015,Within an hour,80%,"June 4, 2017",townhome,,,8,,Hillsboro
916561,Private Guest House On A 10 Acre Estate Surrounded By Hazelnut Orchards,45.439472,-123.026121,"Hillsboro, OR, USA",13,,143,129,149,,95,10.8%,,6,2,2,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,1600,6,,Hillsboro
810337,Chehalem Mountain Wine Cottage With Sweeping Views Of  Wine Country,45.36287821,-123.01195197,"Newberg, OR, USA",24,,221,190,,,95,1.8%,2,4,2,2,cottage,Yes,2016,Within 12 hours,100%,"May 29, 2017",cottage,,1200,4,,Hillsboro
948247,Quiet and centrally located,,,"Aloha, OR, USA",4,4.8,250,250,300,,75,11.0%,,8,3,2,house,Yes,2016,Within 12 hours,100%,"June 7, 2017",house,,1300,,,Hillsboro
881153,Quiet Townhouse next to everything BEST LOCATION,45.532277,-122.871116,"Tanasbourne, Hillsboro, OR, USA",0,,139,135,155,,,,3,7,2,3,townhome,No,2016,Within a few days,100%,"June 6, 2017",townhome,,,7,,Hillsboro
4302217ha,Remodeled 4BR Portland Home w/Spacious Yard!,45.55361,-122.87462,"Hillsboro, OR, USA",6,,278,,,,,,2,8,4,3,house,Yes,1999,Within an hour,,"June 7, 2017",house,,3000,8,,Hillsboro
918479,Cozy Cottage on a 10 acre Country Estate surrounded by Hazelnut Orchards.,45.439472,-123.026121,"Hillsboro, OR, USA",9,4.7,135,129,149,,35,10.8%,,2,1,1,bungalow,Yes,2016,Within an hour,100%,"June 6, 2017",bungalow,,220,2,,Hillsboro
867638,Family House Near Nike Inc.,45.523572,-122.864381,"Beaverton, OR, USA",4,4.5,165,165,,,,,,8,3,2,house,Yes,2016,Within a few hours,100%,"June 2, 2017",house,,2000,8,,Hillsboro
3482358ha,Modern Contemporary Condo near Portland,,,"Beaverton, OR, USA",20,,143,150,175,,,12.5%,2,5,2,2,condo,Yes,2011,Within a day,100%,"June 3, 2017",condo,,1300,5,,Hillsboro
