listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
166483ha,1916 Bungalow Historic Wilmington & Near Wrightsville Beach,34.2346656,-77.9242193,"Wilmington, NC, USA",120,4.9,148,175,185,,65,13.0%,1,7,2,1,house,Yes,2007,Within an hour,100%,"May 28, 2017",house,,1350,7,,Wilmington
645116,Elegant One Bedroom Apartment with Great Outdoor Spaces,34.2291448,-77.94431908,"Historic District, Wilmington, NC, USA",48,4.8,88,95,,,60,13.0%,,4,1,1,condo,Yes,2007,Within 2 days,90%,"June 4, 2017",condo,3,650,4,,Wilmington
379177,Urban Loft in Historic Downtown Wilmington,34.23634338,-77.94826508,"Riverfront, Wilmington, NC, USA",22,4.6,100,125,,,,13.0%,2,4,1,1,apartment,Yes,2011,Within 12 hours,90%,"June 6, 2017",apartment,,,4,,Wilmington
882744,Dream View-Beach/Ocean; 3 bed w/dock on the Intracoastal Waterway!,34.312644,-77.73202,"Wilmington, NC, USA",8,,259,,,,,,2,6,3,2,house,Yes,2009,Within an hour,,"June 2, 2017",house,,,6,,Wilmington
4118919ha,Collins Chestnut House,34.238036,-77.939818,"Historic District, Wilmington, NC, USA",20,4.7,121,140,,,,13.0%,3,5,2,2,house,No,2016,Within a few hours,100%,"June 6, 2017",house,,1200,5,,Wilmington
638265,"Spectacular Waterfront on Banks Channel, Sleeps 16, Boat Dock, Dog Friendly",34.19119,-77.810208,"South End, Wrightsville Beach, NC, USA",22,4.9,800,,,,,13.0%,3,16,5,5,house,Yes,2014,Within a day,80%,"June 6, 2017",house,,6020,16,,Wilmington
830696,Pineapple Inn (830696) ... New Construction 3 Miles From Wrightsville Beach),34.20850311,-77.864749,"Avondale, Wilmington, NC, USA",23,4.7,80,80,90,,35,,2,2,1,1,cottage,Yes,2007,Within a day,90%,"June 6, 2017",cottage,,390,2,,Wilmington
430652,"Waterfront Cottage on Page's Creek - ICWaterway:Private 44' Boat Slip,Allow Dog",34.270774,-77.77471,"Wilmington, NC, USA",85,4.9,260,215,225,,,13.0%,3,7,3,2,cottage,Yes,2012,Within an hour,100%,"May 31, 2017",cottage,,,7,,Wilmington
3614437ha,Renovated Townhouse; Centrally located and 5 min. from  the Beach,34.219038,-77.834613,"Hanover Place, Wilmington, NC, USA",60,4.6,195,225,,,,,2,7,3,2,townhome,Yes,2013,Within an hour,100%,"June 1, 2017",townhome,,1780,7,cottage,Wilmington
432484,OASIS- heart of Downtown - Parking & 2 brm - Weekend 22/23/24 June available,34.2393493,-77.9480044,"Historic District, Wilmington, NC, USA",101,4.9,130,105,135,,,13.0%,2,4,1,1,condo,Yes,2012,Within an hour,100%,"June 6, 2017",condo,1,849,4,building,Wilmington
